2015-03-18 19:03:43 status half-installed lsb-base:all 4.1+Debian8+deb7u1
2015-03-18 19:03:43 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2015-03-18 19:03:43 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2015-03-18 19:03:43 upgrade mawk:armhf 1.3.3-17 1.3.3-17
2015-03-18 19:03:43 status half-configured mawk:armhf 1.3.3-17
2015-03-18 19:03:43 status unpacked mawk:armhf 1.3.3-17
2015-03-18 19:03:43 status half-installed mawk:armhf 1.3.3-17
2015-03-18 19:03:43 status half-installed mawk:armhf 1.3.3-17
2015-03-18 19:03:43 status unpacked mawk:armhf 1.3.3-17
2015-03-18 19:03:43 status unpacked mawk:armhf 1.3.3-17
2015-03-18 19:03:43 install libncurses5:armhf <none> 5.9-10
2015-03-18 19:03:43 status half-installed libncurses5:armhf 5.9-10
2015-03-18 19:03:43 status unpacked libncurses5:armhf 5.9-10
2015-03-18 19:03:43 status unpacked libncurses5:armhf 5.9-10
2015-03-18 19:03:43 install libtinfo5:armhf <none> 5.9-10
2015-03-18 19:03:43 status half-installed libtinfo5:armhf 5.9-10
2015-03-18 19:03:43 status unpacked libtinfo5:armhf 5.9-10
2015-03-18 19:03:43 status unpacked libtinfo5:armhf 5.9-10
2015-03-18 19:03:43 install ncurses-base:all <none> 5.9-10
2015-03-18 19:03:43 status half-installed ncurses-base:all 5.9-10
2015-03-18 19:03:43 status unpacked ncurses-base:all 5.9-10
2015-03-18 19:03:43 status unpacked ncurses-base:all 5.9-10
2015-03-18 19:03:44 install ncurses-bin:armhf <none> 5.9-10
2015-03-18 19:03:44 status half-installed ncurses-bin:armhf 5.9-10
2015-03-18 19:03:44 status unpacked ncurses-bin:armhf 5.9-10
2015-03-18 19:03:44 status unpacked ncurses-bin:armhf 5.9-10
2015-03-18 19:03:44 install libpam-modules:armhf <none> 1.1.3-7.1
2015-03-18 19:03:44 status half-installed libpam-modules:armhf 1.1.3-7.1
2015-03-18 19:03:45 status unpacked libpam-modules:armhf 1.1.3-7.1
2015-03-18 19:03:45 status unpacked libpam-modules:armhf 1.1.3-7.1
2015-03-18 19:03:45 install libpam-modules-bin:armhf <none> 1.1.3-7.1
2015-03-18 19:03:45 status half-installed libpam-modules-bin:armhf 1.1.3-7.1
2015-03-18 19:03:45 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2015-03-18 19:03:45 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2015-03-18 19:03:45 install libpam-runtime:all <none> 1.1.3-7.1
2015-03-18 19:03:45 status half-installed libpam-runtime:all 1.1.3-7.1
2015-03-18 19:03:46 status unpacked libpam-runtime:all 1.1.3-7.1
2015-03-18 19:03:46 status unpacked libpam-runtime:all 1.1.3-7.1
2015-03-18 19:03:46 install libpam0g:armhf <none> 1.1.3-7.1
